protein_hash,seq_len,n_res,n_present_atoms,n_chains,is_monomer,mean_plddt,ptm,blob_bytes
136a964ee6a3f50dec04fe0c165b8730,304,304,2285,1,True,0.9219819903373718,0.9387459754943848,18016
136a9c9ab3f117f2e49f43bf43fc1652,304,304,2323,1,True,0.749093234539032,0.7942452430725098,18580
136ac83ef5f327f4546ba2a3bf46c02c,304,304,2317,1,True,0.9078888297080994,0.9321327209472656,18186
136ac89e5b8c2a347011f1de133424e5,304,304,2405,1,True,0.755713939666748,0.6577321887016296,19141
136ac948359d8df5d3a51536652b2557,304,304,2306,1,True,0.9139778017997742,0.9157088398933411,18393
136ace8acc6a2d17f68a44fa88098d23,304,304,2494,1,True,0.8905155658721924,0.8663349151611328,19472
136ad1feaa2ac2705bb990d225a13fea,304,304,2293,1,True,0.5549182891845703,0.4852190613746643,18388
136ad262d83ca12fc784eb9f9508f727,304,304,2255,1,True,0.738243818283081,0.5302040576934814,18092
136ad76f50fd5fb05a8eb8079dfab02b,304,304,2289,1,True,0.6829400062561035,0.722800076007843,18452
136ae2a18c7113d26ac3a650863784d1,304,304,2428,1,True,0.7191807627677917,0.5316354632377625,19327
136ae2d92f3736cc7cd4004ada123bc9,304,304,2347,1,True,0.5835429430007935,0.546668291091919,18697
136ae5ff046cc9a70101fb7f560d1117,304,304,2412,1,True,0.43176165223121643,0.2796901762485504,19052
136aef63d7c4b8ecd6fe2cefebde3933,304,304,2263,1,True,0.4939512014389038,0.417682021856308,18316
136afd8342cd4d9bc3125eacc9c077cb,304,304,2417,1,True,0.8369596004486084,0.7349801659584045,19051
136afdf83a60cf38085e76c285218bd3,304,304,2456,1,True,0.45384517312049866,0.2980162799358368,19389
136b002624fc1ae631f1662db179f7f8,304,304,2580,1,True,0.631486177444458,0.44382235407829285,20508
136b14987823e58563d02fc61340a96b,304,304,2392,1,True,0.822833240032196,0.848132312297821,19050
136a8542d63a6278ef4bd9d01da6a2de,305,305,2366,1,True,0.3173817992210388,0.20019294321537018,18805
136a85f967fd9a48bedc39b706fcdb8f,305,305,2414,1,True,0.8378609418869019,0.8716741800308228,19158
136a868b5d9ae875069c179d8dcb9255,305,305,2384,1,True,0.7931097149848938,0.8321715593338013,18880
136ab8fc1fcb095bbe9dafa5ac2c7df1,305,305,2342,1,True,0.408931702375412,0.3054995834827423,18861
136abea0636194e45f9f6f002d24de87,305,305,2295,1,True,0.8286757469177246,0.7965520024299622,18328
136ac8a58746568f35ce1519471d56d4,305,305,2612,1,True,0.3751705288887024,0.18913179636001587,20389
136ada4a996199988e6456edcfa5bd8c,305,305,2364,1,True,0.8052043914794922,0.7718172669410706,18816
136ae18bea4b61e12ad676d81b86a1fd,305,305,2379,1,True,0.9172065258026123,0.9326270818710327,18726
136ae4adadf13dc513f78671bbc642f0,305,305,2414,1,True,0.701027512550354,0.5354125499725342,19178
136ae7c0007563d3473a15b939999b75,305,305,2420,1,True,0.8467270135879517,0.7481744289398193,18978
136aecabd8c6fdedd0e7f63e65885311,305,305,2481,1,True,0.8537017107009888,0.8657269477844238,19650
136aed787ce688b0568e837db6681b2f,305,305,2387,1,True,0.517370879650116,0.28865566849708557,18453
136af58d566f4564159d07a2b953db82,305,305,2371,1,True,0.7631217241287231,0.45718079805374146,18968
136b085a6e1a866c9326d0b74afef1ee,305,305,2476,1,True,0.46607816219329834,0.4288805425167084,19707
136b0aa739b450401ad7da078994800b,305,305,2220,1,True,0.8559828400611877,0.8770001530647278,17696
136b12f5a4182f45e97a38bcd4931a7a,305,305,2448,1,True,0.9075881838798523,0.913184404373169,19279
136b1398a2e86a2fc920d84f58db660d,305,305,2242,1,True,0.3495972156524658,0.0944443866610527,17692
136a95f9cad7ee73c2637a626a041910,306,306,2339,1,True,0.628308892250061,0.707029402256012,18847
136aa89d8f5aadb04f80e1844cfecf12,306,306,2542,1,True,0.82638019323349,0.7047997713088989,19864
